"Private" "Apps" "Accept" "Enroll" "Expend" "Grad.Rate" "Top25perc" "lat" "lng" "Name" "mappop"
"Mount Holyoke College" "Private" 1800 1314 526 18359 84 79 42.2579399 -72.5763912 "Mount Holyoke College" "<b>Mount Holyoke College</b><br><b>Private</b><br><b>Applications: </b>1800<br><b>Applicatants accepted: </b>1314<br><b>Enrollments: </b>526"
"Mount Marty College" "Private" 279 276 126 5073 44 37 42.874457 -97.410359 "Mount Marty College" "<b>Mount Marty College</b><br><b>Private</b><br><b>Applications: </b>279<br><b>Applicatants accepted: </b>276<br><b>Enrollments: </b>126"
"Mount Mary College" "Private" 235 217 121 7016 78 32 43.0717772 -88.0301946 "Mount Mary College" "<b>Mount Mary College</b><br><b>Private</b><br><b>Applications: </b>235<br><b>Applicatants accepted: </b>217<br><b>Enrollments: </b>121"
"Mount Mercy College" "Private" 368 317 159 6695 64 49 42.0021111 -91.6510391 "Mount Mercy College" "<b>Mount Mercy College</b><br><b>Private</b><br><b>Applications: </b>368<br><b>Applicatants accepted: </b>317<br><b>Enrollments: </b>159"
"Mount Saint Clare College" "Private" 325 284 95 6525 21 33 41.851471 -90.1989742 "Mount Saint Clare College" "<b>Mount Saint Clare College</b><br><b>Private</b><br><b>Applications: </b>325<br><b>Applicatants accepted: </b>284<br><b>Enrollments: </b>95"
"Mount Saint Mary's College" "Private" 1321 1159 328 8536 80 36 41.5130081 -74.0123926 "Mount Saint Mary's College" "<b>Mount Saint Mary's College</b><br><b>Private</b><br><b>Applications: </b>1321<br><b>Applicatants accepted: </b>1159<br><b>Enrollments: </b>328"
"Mount Saint Mary College" "Private" 1170 695 238 6898 88 48 41.5130081 -74.0123926 "Mount Saint Mary College" "<b>Mount Saint Mary College</b><br><b>Private</b><br><b>Applications: </b>1170<br><b>Applicatants accepted: </b>695<br><b>Enrollments: </b>238"
"Mount St. Mary's College" "Private" 657 537 113 10613 72 90 41.5130081 -74.0123926 "Mount St. Mary's College" "<b>Mount St. Mary's College</b><br><b>Private</b><br><b>Applications: </b>657<br><b>Applicatants accepted: </b>537<br><b>Enrollments: </b>113"
"Mount Union College" "Private" 1310 1086 458 7215 81 61 40.9041553 -81.1127618 "Mount Union College" "<b>Mount Union College</b><br><b>Private</b><br><b>Applications: </b>1310<br><b>Applicatants accepted: </b>1086<br><b>Enrollments: </b>458"
"Mount Vernon Nazarene College" "Private" 510 485 334 6869 58 36 40.3731566 -82.47349 "Mount Vernon Nazarene College" "<b>Mount Vernon Nazarene College</b><br><b>Private</b><br><b>Applications: </b>510<br><b>Applicatants accepted: </b>485<br><b>Enrollments: </b>334"
"Muhlenberg College" "Private" 2519 1836 462 10888 83 61 40.597545 -75.510112 "Muhlenberg College" "<b>Muhlenberg College</b><br><b>Private</b><br><b>Applications: </b>2519<br><b>Applicatants accepted: </b>1836<br><b>Enrollments: </b>462"
"Murray State University" "Public" 2225 1910 1190 5972 52 55 36.6151661 -88.3226914 "Murray State University" "<b>Murray State University</b><br><b>Public</b><br><b>Applications: </b>2225<br><b>Applicatants accepted: </b>1910<br><b>Enrollments: </b>1190"
"Muskingum College" "Private" 1109 922 375 9333 73 46 39.997343 -81.737966 "Muskingum College" "<b>Muskingum College</b><br><b>Private</b><br><b>Applications: </b>1109<br><b>Applicatants accepted: </b>922<br><b>Enrollments: </b>375"
"National-Louis University" "Private" 513 347 279 7905 71 48 41.8799528 -87.6247776 "National-Louis University" "<b>National-Louis University</b><br><b>Private</b><br><b>Applications: </b>513<br><b>Applicatants accepted: </b>347<br><b>Enrollments: </b>279"
"Nazareth College of Rochester" "Private" 947 798 266 8797 61 68 43.1030175 -77.520027 "Nazareth College of Rochester" "<b>Nazareth College of Rochester</b><br><b>Private</b><br><b>Applications: </b>947<br><b>Applicatants accepted: </b>798<br><b>Enrollments: </b>266"
"New Jersey Institute of Technology" "Public" 1879 1216 483 12529 72 62 40.7431473 -74.1783086 "New Jersey Institute of Technology" "<b>New Jersey Institute of Technology</b><br><b>Public</b><br><b>Applications: </b>1879<br><b>Applicatants accepted: </b>1216<br><b>Enrollments: </b>483"
"New Mexico Institute of Mining and Tech." "Public" 787 601 233 9241 34 73 34.0659928 -106.9056113 "New Mexico Institute of Mining and Tech." "<b>New Mexico Institute of Mining and Tech.</b><br><b>Public</b><br><b>Applications: </b>787<br><b>Applicatants accepted: </b>601<br><b>Enrollments: </b>233"
"New York University" "Private" 13594 7244 2505 21227 71 86 40.7295134 -73.9964609 "New York University" "<b>New York University</b><br><b>Private</b><br><b>Applications: </b>13594<br><b>Applicatants accepted: </b>7244<br><b>Enrollments: </b>2505"
"Newberry College" "Private" 872 722 154 5788 83 36 34.2861183 -81.6220417 "Newberry College" "<b>Newberry College</b><br><b>Private</b><br><b>Applications: </b>872<br><b>Applicatants accepted: </b>722<br><b>Enrollments: </b>154"
"Niagara University" "Private" 2220 1796 467 7788 65 99 43.1383605 -79.0376672 "Niagara University" "<b>Niagara University</b><br><b>Private</b><br><b>Applications: </b>2220<br><b>Applicatants accepted: </b>1796<br><b>Enrollments: </b>467"
"North Adams State College" "Public" 1563 1005 240 6562 57 19 42.6917289 -73.1030323 "North Adams State College" "<b>North Adams State College</b><br><b>Public</b><br><b>Applications: </b>1563<br><b>Applicatants accepted: </b>1005<br><b>Enrollments: </b>240"
"North Carolina A. & T. State University" "Public" 4809 3089 1429 7090 44 33 36.076766 -79.7690564 "North Carolina A. & T. State University" "<b>North Carolina A. & T. State University</b><br><b>Public</b><br><b>Applications: </b>4809<br><b>Applicatants accepted: </b>3089<br><b>Enrollments: </b>1429"
"North Carolina State University at Raleigh" "Public" 10634 7064 3176 9670 62 78 35.7846633 -78.6820946 "North Carolina State University at Raleigh" "<b>North Carolina State University at Raleigh</b><br><b>Public</b><br><b>Applications: </b>10634<br><b>Applicatants accepted: </b>7064<br><b>Enrollments: </b>3176"
"North Carolina Wesleyan College" "Private" 812 689 195 10090 52 24 36.0186775 -77.7743049 "North Carolina Wesleyan College" "<b>North Carolina Wesleyan College</b><br><b>Private</b><br><b>Applications: </b>812<br><b>Applicatants accepted: </b>689<br><b>Enrollments: </b>195"
"North Central College" "Private" 1127 884 308 8871 76 64 41.778211 -88.1425019 "North Central College" "<b>North Central College</b><br><b>Private</b><br><b>Applications: </b>1127<br><b>Applicatants accepted: </b>884<br><b>Enrollments: </b>308"
"North Dakota State University" "Public" 2968 2297 1610 6310 42 47 46.8979402 -96.8028766 "North Dakota State University" "<b>North Dakota State University</b><br><b>Public</b><br><b>Applications: </b>2968<br><b>Applicatants accepted: </b>2297<br><b>Enrollments: </b>1610"
"North Park College" "Private" 465 361 176 10889 74 39 41.9748334 -87.7112238 "North Park College" "<b>North Park College</b><br><b>Private</b><br><b>Applications: </b>465<br><b>Applicatants accepted: </b>361<br><b>Enrollments: </b>176"
"Northeast Missouri State University" "Public" 6040 4577 1620 6601 76 72 40.1856419 -92.5817312 "Northeast Missouri State University" "<b>Northeast Missouri State University</b><br><b>Public</b><br><b>Applications: </b>6040<br><b>Applicatants accepted: </b>4577<br><b>Enrollments: </b>1620"
"Northeastern University" "Private" 11901 8492 2517 9563 46 42 42.3398067 -71.0891717 "Northeastern University" "<b>Northeastern University</b><br><b>Private</b><br><b>Applications: </b>11901<br><b>Applicatants accepted: </b>8492<br><b>Enrollments: </b>2517"
"Northern Arizona University" "Public" 5891 4931 1973 6157 41 48 35.1898983 -111.6527599 "Northern Arizona University" "<b>Northern Arizona University</b><br><b>Public</b><br><b>Applications: </b>5891<br><b>Applicatants accepted: </b>4931<br><b>Enrollments: </b>1973"
"Northern Illinois University" "Public" 10706 7219 2397 6086 56 37 41.934176 -88.7738736 "Northern Illinois University" "<b>Northern Illinois University</b><br><b>Public</b><br><b>Applications: </b>10706<br><b>Applicatants accepted: </b>7219<br><b>Enrollments: </b>2397"
"Northwest Missouri State University" "Public" 2729 2535 1257 5284 54 29 40.3496942 -94.8805723 "Northwest Missouri State University" "<b>Northwest Missouri State University</b><br><b>Public</b><br><b>Applications: </b>2729<br><b>Applicatants accepted: </b>2535<br><b>Enrollments: </b>1257"
"Northwest Nazarene College" "Private" 616 514 385 6261 58 52 43.5630615 -116.5668828 "Northwest Nazarene College" "<b>Northwest Nazarene College</b><br><b>Private</b><br><b>Applications: </b>616<br><b>Applicatants accepted: </b>514<br><b>Enrollments: </b>385"
"Northwestern College" "Private" 860 811 366 6357 68 56 42.9979484 -96.0582598 "Northwestern College" "<b>Northwestern College</b><br><b>Private</b><br><b>Applications: </b>860<br><b>Applicatants accepted: </b>811<br><b>Enrollments: </b>366"
"Northwestern University" "Private" 12289 5200 1902 26385 92 98 42.0564594 -87.675267 "Northwestern University" "<b>Northwestern University</b><br><b>Private</b><br><b>Applications: </b>12289<br><b>Applicatants accepted: </b>5200<br><b>Enrollments: </b>1902"
"Norwich University" "Private" 1743 1625 626 9209 63 29 44.138478 -72.658766 "Norwich University" "<b>Norwich University</b><br><b>Private</b><br><b>Applications: </b>1743<br><b>Applicatants accepted: </b>1625<br><b>Enrollments: </b>626"
"Notre Dame College" "Private" 379 324 107 4948 33 37 41.5068501 -81.5154967 "Notre Dame College" "<b>Notre Dame College</b><br><b>Private</b><br><b>Applications: </b>379<br><b>Applicatants accepted: </b>324<br><b>Enrollments: </b>107"
"Oakland University" "Public" 3041 2581 1173 6637 53 56 42.671511 -83.2166504 "Oakland University" "<b>Oakland University</b><br><b>Public</b><br><b>Applications: </b>3041<br><b>Applicatants accepted: </b>2581<br><b>Enrollments: </b>1173"
"Oberlin College" "Private" 4778 2767 678 16593 83 89 41.2938119 -82.2236102 "Oberlin College" "<b>Oberlin College</b><br><b>Private</b><br><b>Applications: </b>4778<br><b>Applicatants accepted: </b>2767<br><b>Enrollments: </b>678"
"Occidental College" "Private" 2324 1319 370 16196 79 81 34.1266199 -118.2124186 "Occidental College" "<b>Occidental College</b><br><b>Private</b><br><b>Applications: </b>2324<br><b>Applicatants accepted: </b>1319<br><b>Enrollments: </b>370"
"Oglethorpe University" "Private" 792 649 186 8568 67 87 33.873516 -84.331211 "Oglethorpe University" "<b>Oglethorpe University</b><br><b>Private</b><br><b>Applications: </b>792<br><b>Applicatants accepted: </b>649<br><b>Enrollments: </b>186"
"Ohio Northern University" "Private" 2936 2342 669 9979 83 62 40.7658541 -83.83236 "Ohio Northern University" "<b>Ohio Northern University</b><br><b>Private</b><br><b>Applications: </b>2936<br><b>Applicatants accepted: </b>2342<br><b>Enrollments: </b>669"
"Ohio University" "Public" 11023 8298 3183 8811 64 54 39.324358 -82.1013889 "Ohio University" "<b>Ohio University</b><br><b>Public</b><br><b>Applications: </b>11023<br><b>Applicatants accepted: </b>8298<br><b>Enrollments: </b>3183"
"Ohio Wesleyan University" "Private" 2190 1700 458 12011 75 65 40.2959764 -83.0678456 "Ohio Wesleyan University" "<b>Ohio Wesleyan University</b><br><b>Private</b><br><b>Applications: </b>2190<br><b>Applicatants accepted: </b>1700<br><b>Enrollments: </b>458"
"Oklahoma Baptist University" "Private" 758 681 484 5511 50 59 35.360101 -96.935674 "Oklahoma Baptist University" "<b>Oklahoma Baptist University</b><br><b>Private</b><br><b>Applications: </b>758<br><b>Applicatants accepted: </b>681<br><b>Enrollments: </b>484"
"Oklahoma Christian University" "Private" 776 765 351 6578 45 44 35.6109412 -97.4686003 "Oklahoma Christian University" "<b>Oklahoma Christian University</b><br><b>Private</b><br><b>Applications: </b>776<br><b>Applicatants accepted: </b>765<br><b>Enrollments: </b>351"
"Oklahoma State University" "Public" 4522 3913 2181 6433 48 57 36.1270236 -97.0737222 "Oklahoma State University" "<b>Oklahoma State University</b><br><b>Public</b><br><b>Applications: </b>4522<br><b>Applicatants accepted: </b>3913<br><b>Enrollments: </b>2181"
"Otterbein College" "Private" 1496 1205 428 8802 87 57 40.125505 -82.936435 "Otterbein College" "<b>Otterbein College</b><br><b>Private</b><br><b>Applications: </b>1496<br><b>Applicatants accepted: </b>1205<br><b>Enrollments: </b>428"
"Ouachita Baptist University" "Private" 910 773 450 6413 65 73 34.1255241 -93.0527592 "Ouachita Baptist University" "<b>Ouachita Baptist University</b><br><b>Private</b><br><b>Applications: </b>910<br><b>Applicatants accepted: </b>773<br><b>Enrollments: </b>450"
"Our Lady of the Lake University" "Private" 2308 1336 295 7114 37 46 29.4255949 -98.5428357 "Our Lady of the Lake University" "<b>Our Lady of the Lake University</b><br><b>Private</b><br><b>Applications: </b>2308<br><b>Applicatants accepted: </b>1336<br><b>Enrollments: </b>295"
"Pace University" "Private" 8256 3750 1522 10059 62 70 40.7113646 -74.0051318 "Pace University" "<b>Pace University</b><br><b>Private</b><br><b>Applications: </b>8256<br><b>Applicatants accepted: </b>3750<br><b>Enrollments: </b>1522"
"Pacific Lutheran University" "Private" 1603 1392 504 9431 83 68 47.1464936 -122.4417973 "Pacific Lutheran University" "<b>Pacific Lutheran University</b><br><b>Private</b><br><b>Applications: </b>1603<br><b>Applicatants accepted: </b>1392<br><b>Enrollments: </b>504"
"Pacific Union College" "Private" 940 668 385 9157 69 48 38.5698777 -122.4394834 "Pacific Union College" "<b>Pacific Union College</b><br><b>Private</b><br><b>Applications: </b>940<br><b>Applicatants accepted: </b>668<br><b>Enrollments: </b>385"
"Pacific University" "Private" 943 849 288 11216 42 71 45.5209449 -123.1096477 "Pacific University" "<b>Pacific University</b><br><b>Private</b><br><b>Applications: </b>943<br><b>Applicatants accepted: </b>849<br><b>Enrollments: </b>288"
"Pembroke State University" "Public" 944 774 440 6443 48 34 34.6904889 -79.2010053 "Pembroke State University" "<b>Pembroke State University</b><br><b>Public</b><br><b>Applications: </b>944<br><b>Applicatants accepted: </b>774<br><b>Enrollments: </b>440"
"Pennsylvania State Univ. Main Campus" "Public" 19315 10344 3450 8992 63 93 40.7982133 -77.8599084 "Pennsylvania State Univ. Main Campus" "<b>Pennsylvania State Univ. Main Campus</b><br><b>Public</b><br><b>Applications: </b>19315<br><b>Applicatants accepted: </b>10344<br><b>Enrollments: </b>3450"
"Pepperdine University" "Private" 3821 2037 680 16185 66 96 34.0414045 -118.7095814 "Pepperdine University" "<b>Pepperdine University</b><br><b>Private</b><br><b>Applications: </b>3821<br><b>Applicatants accepted: </b>2037<br><b>Enrollments: </b>680"
"Peru State College" "Public" 701 501 458 4870 44 40 40.4757522 -95.7319554 "Peru State College" "<b>Peru State College</b><br><b>Public</b><br><b>Applications: </b>701<br><b>Applicatants accepted: </b>501<br><b>Enrollments: </b>458"
"Pfeiffer College" "Private" 838 651 159 7634 48 25 35.4848823 -80.2804584 "Pfeiffer College" "<b>Pfeiffer College</b><br><b>Private</b><br><b>Applications: </b>838<br><b>Applicatants accepted: </b>651<br><b>Enrollments: </b>159"
"Philadelphia Coll. of Textiles and Sci." "Private" 1538 1259 468 8028 68 42 40.0233185 -75.1942714 "Philadelphia Coll. of Textiles and Sci." "<b>Philadelphia Coll. of Textiles and Sci.</b><br><b>Private</b><br><b>Applications: </b>1538<br><b>Applicatants accepted: </b>1259<br><b>Enrollments: </b>468"
"Phillips University" "Private" 692 576 174 8990 39 50 36.397669 -97.841491 "Phillips University" "<b>Phillips University</b><br><b>Private</b><br><b>Applications: </b>692<br><b>Applicatants accepted: </b>576<br><b>Enrollments: </b>174"
"Piedmont College" "Private" 663 562 127 7309 31 40 34.5665363 -83.5419975 "Piedmont College" "<b>Piedmont College</b><br><b>Private</b><br><b>Applications: </b>663<br><b>Applicatants accepted: </b>562<br><b>Enrollments: </b>127"
"Pikeville College" "Private" 404 400 169 5557 61 48 37.4795448 -82.5195138 "Pikeville College" "<b>Pikeville College</b><br><b>Private</b><br><b>Applications: </b>404<br><b>Applicatants accepted: </b>400<br><b>Enrollments: </b>169"
"Pitzer College" "Private" 1133 630 220 14820 73 73 34.1046694 -117.7047392 "Pitzer College" "<b>Pitzer College</b><br><b>Private</b><br><b>Applications: </b>1133<br><b>Applicatants accepted: </b>630<br><b>Enrollments: </b>220"
"Point Loma Nazarene College" "Private" 809 687 428 7895 54 43 32.7183104 -117.2502264 "Point Loma Nazarene College" "<b>Point Loma Nazarene College</b><br><b>Private</b><br><b>Applications: </b>809<br><b>Applicatants accepted: </b>687<br><b>Enrollments: </b>428"
"Point Park College" "Private" 875 744 207 7652 66 38 40.438561 -80.002001 "Point Park College" "<b>Point Park College</b><br><b>Private</b><br><b>Applications: </b>875<br><b>Applicatants accepted: </b>744<br><b>Enrollments: </b>207"
"Polytechnic University" "Private" 1132 847 302 14329 62 89 28.1507405 -81.8512536 "Polytechnic University" "<b>Polytechnic University</b><br><b>Private</b><br><b>Applications: </b>1132<br><b>Applicatants accepted: </b>847<br><b>Enrollments: </b>302"
"Prairie View A. and M. University" "Public" 2405 2234 1061 5967 35 22 30.0952322 -95.9806139 "Prairie View A. and M. University" "<b>Prairie View A. and M. University</b><br><b>Public</b><br><b>Applications: </b>2405<br><b>Applicatants accepted: </b>2234<br><b>Enrollments: </b>1061"
"Presbyterian College" "Private" 1082 832 302 8354 85 63 34.4651822 -81.877559 "Presbyterian College" "<b>Presbyterian College</b><br><b>Private</b><br><b>Applications: </b>1082<br><b>Applicatants accepted: </b>832<br><b>Enrollments: </b>302"
"Princeton University" "Private" 13218 2042 1153 28320 99 98 40.3439888 -74.6514481 "Princeton University" "<b>Princeton University</b><br><b>Private</b><br><b>Applications: </b>13218<br><b>Applicatants accepted: </b>2042<br><b>Enrollments: </b>1153"
"Providence College" "Private" 5139 3346 973 8135 96 55 41.8438848 -71.4346677 "Providence College" "<b>Providence College</b><br><b>Private</b><br><b>Applications: </b>5139<br><b>Applicatants accepted: </b>3346<br><b>Enrollments: </b>973"
"Purdue University at West Lafayette" "Public" 21804 18744 5874 8604 67 60 40.4237054 -86.9211946 "Purdue University at West Lafayette" "<b>Purdue University at West Lafayette</b><br><b>Public</b><br><b>Applications: </b>21804<br><b>Applicatants accepted: </b>18744<br><b>Enrollments: </b>5874"
"Queens College" "Private" 516 392 154 9315 58 62 40.7356327 -73.8177678 "Queens College" "<b>Queens College</b><br><b>Private</b><br><b>Applications: </b>516<br><b>Applicatants accepted: </b>392<br><b>Enrollments: </b>154"
"Quincy University" "Private" 1025 707 297 6880 80 66 39.9389226 -91.3860389 "Quincy University" "<b>Quincy University</b><br><b>Private</b><br><b>Applications: </b>1025<br><b>Applicatants accepted: </b>707<br><b>Enrollments: </b>297"
"Quinnipiac College" "Private" 3712 2153 806 8847 86 45 41.419218 -72.8939679 "Quinnipiac College" "<b>Quinnipiac College</b><br><b>Private</b><br><b>Applications: </b>3712<br><b>Applicatants accepted: </b>2153<br><b>Enrollments: </b>806"
"Radford University" "Public" 5702 4894 1742 4519 62 37 37.137399 -80.5507896 "Radford University" "<b>Radford University</b><br><b>Public</b><br><b>Applications: </b>5702<br><b>Applicatants accepted: </b>4894<br><b>Enrollments: </b>1742"
"Ramapo College of New Jersey" "Public" 2088 957 362 7333 47 29 41.082065 -74.174622 "Ramapo College of New Jersey" "<b>Ramapo College of New Jersey</b><br><b>Public</b><br><b>Applications: </b>2088<br><b>Applicatants accepted: </b>957<br><b>Enrollments: </b>362"
"Randolph-Macon College" "Private" 1771 1325 306 11080 74 46 37.7603848 -77.4783295 "Randolph-Macon College" "<b>Randolph-Macon College</b><br><b>Private</b><br><b>Applications: </b>1771<br><b>Applicatants accepted: </b>1325<br><b>Enrollments: </b>306"
"Randolph-Macon Woman's College" "Private" 696 616 169 16358 68 66 37.4370664 -79.1732704 "Randolph-Macon Woman's College" "<b>Randolph-Macon Woman's College</b><br><b>Private</b><br><b>Applications: </b>696<br><b>Applicatants accepted: </b>616<br><b>Enrollments: </b>169"
"Reed College" "Private" 1966 1436 327 15886 68 80 45.480571 -122.630091 "Reed College" "<b>Reed College</b><br><b>Private</b><br><b>Applications: </b>1966<br><b>Applicatants accepted: </b>1436<br><b>Enrollments: </b>327"
"Regis College" "Private" 427 385 143 11758 84 38 42.350288 -71.30895 "Regis College" "<b>Regis College</b><br><b>Private</b><br><b>Applications: </b>427<br><b>Applicatants accepted: </b>385<br><b>Enrollments: </b>143"
"Rensselaer Polytechnic Institute" "Private" 4996 4165 936 15605 70 82 42.730172 -73.6788026 "Rensselaer Polytechnic Institute" "<b>Rensselaer Polytechnic Institute</b><br><b>Private</b><br><b>Applications: </b>4996<br><b>Applicatants accepted: </b>4165<br><b>Enrollments: </b>936"
"Rhodes College" "Private" 2302 1831 391 13388 77 82 35.1556967 -89.9897699 "Rhodes College" "<b>Rhodes College</b><br><b>Private</b><br><b>Applications: </b>2302<br><b>Applicatants accepted: </b>1831<br><b>Enrollments: </b>391"
"Rider University" "Private" 3586 2424 730 11299 70 31 40.2806536 -74.7391314 "Rider University" "<b>Rider University</b><br><b>Private</b><br><b>Applications: </b>3586<br><b>Applicatants accepted: </b>2424<br><b>Enrollments: </b>730"
"Ripon College" "Private" 587 501 211 12472 64 52 43.8432217 -88.8409595 "Ripon College" "<b>Ripon College</b><br><b>Private</b><br><b>Applications: </b>587<br><b>Applicatants accepted: </b>501<br><b>Enrollments: </b>211"
"Rivier College" "Private" 484 386 141 6744 81 28 42.739534 -71.454415 "Rivier College" "<b>Rivier College</b><br><b>Private</b><br><b>Applications: </b>484<br><b>Applicatants accepted: </b>386<br><b>Enrollments: </b>141"
"Roanoke College" "Private" 2227 1790 437 9405 72 54 37.2974291 -80.0556669 "Roanoke College" "<b>Roanoke College</b><br><b>Private</b><br><b>Applications: </b>2227<br><b>Applicatants accepted: </b>1790<br><b>Enrollments: </b>437"
"Rockhurst College" "Private" 935 858 345 7519 79 50 39.0308327 -94.5734484 "Rockhurst College" "<b>Rockhurst College</b><br><b>Private</b><br><b>Applications: </b>935<br><b>Applicatants accepted: </b>858<br><b>Enrollments: </b>345"
"Rocky Mountain College" "Private" 560 392 270 6422 68 31 45.7965967 -108.5581514 "Rocky Mountain College" "<b>Rocky Mountain College</b><br><b>Private</b><br><b>Applications: </b>560<br><b>Applicatants accepted: </b>392<br><b>Enrollments: </b>270"
"Roger Williams University" "Private" 3304 2804 679 7957 61 20 41.6503087 -71.2607787 "Roger Williams University" "<b>Roger Williams University</b><br><b>Private</b><br><b>Applications: </b>3304<br><b>Applicatants accepted: </b>2804<br><b>Enrollments: </b>679"
"Rollins College" "Private" 1777 1151 382 11561 90 55 28.5918723 -81.3484843 "Rollins College" "<b>Rollins College</b><br><b>Private</b><br><b>Applications: </b>1777<br><b>Applicatants accepted: </b>1151<br><b>Enrollments: </b>382"
"Rosary College" "Private" 434 321 141 9264 81 53 41.901617 -87.823428 "Rosary College" "<b>Rosary College</b><br><b>Private</b><br><b>Applications: </b>434<br><b>Applicatants accepted: </b>321<br><b>Enrollments: </b>141"
"Rowan College of New Jersey" "Public" 3820 1431 695 7252 51 70 39.7103762 -75.1180511 "Rowan College of New Jersey" "<b>Rowan College of New Jersey</b><br><b>Public</b><br><b>Applications: </b>3820<br><b>Applicatants accepted: </b>1431<br><b>Enrollments: </b>695"
"Rutgers at New Brunswick" "Public" 48094 26330 4520 10474 77 79 40.5008186 -74.4473991 "Rutgers at New Brunswick" "<b>Rutgers at New Brunswick</b><br><b>Public</b><br><b>Applications: </b>48094<br><b>Applicatants accepted: </b>26330<br><b>Enrollments: </b>4520"
"Rutgers State University at Camden" "Public" 3366 1752 232 10134 57 79 39.9471793 -75.1204755 "Rutgers State University at Camden" "<b>Rutgers State University at Camden</b><br><b>Public</b><br><b>Applications: </b>3366<br><b>Applicatants accepted: </b>1752<br><b>Enrollments: </b>232"
"Rutgers State University at Newark" "Public" 5785 2690 499 11878 58 62 40.7443778 -74.1712424 "Rutgers State University at Newark" "<b>Rutgers State University at Newark</b><br><b>Public</b><br><b>Applications: </b>5785<br><b>Applicatants accepted: </b>2690<br><b>Enrollments: </b>499"
"Sacred Heart University" "Private" 2307 1896 509 7120 82 51 41.221728 -73.242137 "Sacred Heart University" "<b>Sacred Heart University</b><br><b>Private</b><br><b>Applications: </b>2307<br><b>Applicatants accepted: </b>1896<br><b>Enrollments: </b>509"
"Saint Ambrose University" "Private" 897 718 276 7444 70 48 41.5402651 -90.5807197 "Saint Ambrose University" "<b>Saint Ambrose University</b><br><b>Private</b><br><b>Applications: </b>897<br><b>Applicatants accepted: </b>718<br><b>Enrollments: </b>276"
"Saint Anselm College" "Private" 2095 1553 514 6719 97 40 42.9874723 -71.5072307 "Saint Anselm College" "<b>Saint Anselm College</b><br><b>Private</b><br><b>Applications: </b>2095<br><b>Applicatants accepted: </b>1553<br><b>Enrollments: </b>514"
"Saint Cloud State University" "Public" 3971 3306 1921 4629 58 34 45.552525 -94.151093 "Saint Cloud State University" "<b>Saint Cloud State University</b><br><b>Public</b><br><b>Applications: </b>3971<br><b>Applicatants accepted: </b>3306<br><b>Enrollments: </b>1921"
"Saint Francis College IN" "Private" 213 166 85 7440 48 36 40.6933174 -73.9922772 "Saint Francis College IN" "<b>Saint Francis College IN</b><br><b>Private</b><br><b>Applications: </b>213<br><b>Applicatants accepted: </b>166<br><b>Enrollments: </b>85"
"Saint Francis College" "Private" 1046 824 284 7344 69 45 40.6933174 -73.9922772 "Saint Francis College" "<b>Saint Francis College</b><br><b>Private</b><br><b>Applications: </b>1046<br><b>Applicatants accepted: </b>824<br><b>Enrollments: </b>284"
"Saint John's University" "Private" 933 800 444 9853 70 45 40.721588 -73.7944657 "Saint John's University" "<b>Saint John's University</b><br><b>Private</b><br><b>Applications: </b>933<br><b>Applicatants accepted: </b>800<br><b>Enrollments: </b>444"
"Saint Joseph's College IN" "Private" 920 684 225 7360 67 42 40.919613 -87.155951 "Saint Joseph's College IN" "<b>Saint Joseph's College IN</b><br><b>Private</b><br><b>Applications: </b>920<br><b>Applicatants accepted: </b>684<br><b>Enrollments: </b>225"
"Saint Joseph's College" "Private" 833 682 217 4322 85 33 40.919613 -87.155951 "Saint Joseph's College" "<b>Saint Joseph's College</b><br><b>Private</b><br><b>Applications: </b>833<br><b>Applicatants accepted: </b>682<br><b>Enrollments: </b>217"
"Saint Joseph's University" "Private" 2519 2003 776 8243 83 71 39.9952597 -75.2389052 "Saint Joseph's University" "<b>Saint Joseph's University</b><br><b>Private</b><br><b>Applications: </b>2519<br><b>Applicatants accepted: </b>2003<br><b>Enrollments: </b>776"
"Saint Joseph College" "Private" 292 241 96 8680 76 52 40.919613 -87.155951 "Saint Joseph College" "<b>Saint Joseph College</b><br><b>Private</b><br><b>Applications: </b>292<br><b>Applicatants accepted: </b>241<br><b>Enrollments: </b>96"
"Saint Louis University" "Private" 3294 2855 956 18367 67 67 38.6357332 -90.2335882 "Saint Louis University" "<b>Saint Louis University</b><br><b>Private</b><br><b>Applications: </b>3294<br><b>Applicatants accepted: </b>2855<br><b>Enrollments: </b>956"
"Saint Mary's College" "Private" 888 734 393 11165 98 60 41.7083299 -86.2581234 "Saint Mary's College" "<b>Saint Mary's College</b><br><b>Private</b><br><b>Applications: </b>888<br><b>Applicatants accepted: </b>734<br><b>Enrollments: </b>393"
"Saint Mary's College of Minnesota" "Private" 876 802 367 5081 78 35 44.0436653 -91.6959279 "Saint Mary's College of Minnesota" "<b>Saint Mary's College of Minnesota</b><br><b>Private</b><br><b>Applications: </b>876<br><b>Applicatants accepted: </b>802<br><b>Enrollments: </b>367"
"Saint Mary-of-the-Woods College" "Private" 150 130 88 9678 75 50 39.5092648 -87.4616353 "Saint Mary-of-the-Woods College" "<b>Saint Mary-of-the-Woods College</b><br><b>Private</b><br><b>Applications: </b>150<br><b>Applicatants accepted: </b>130<br><b>Enrollments: </b>88"
"Saint Michael's College" "Private" 1910 1380 463 10190 84 64 44.4951628 -73.1627561 "Saint Michael's College" "<b>Saint Michael's College</b><br><b>Private</b><br><b>Applications: </b>1910<br><b>Applicatants accepted: </b>1380<br><b>Enrollments: </b>463"
